Region	River	Month	Total	Beached	Percentage	Treal	Tmove
Xmas Island	R13	Dec15	124	1	0.81	681	100599
Xmas Island	R13	Jun12	5610	2	0.04	210	1716207
Xmas Island	R13	Jun15	13530	23	0.17	5134	7248654
Xmas Island	R21	Jun12	1261	2	0.16	213	473638
Xmas Island	R3	Jul15	11499	1	0.01	373	3052351
Xmas Island	R3	Jun11	22047	2	0.01	1219	10419861
Xmas Island	R3	Jun12	14448	6	0.04	704	5038855
Xmas Island	R3	Jun15	43866	37	0.08	9666	21615214
Xmas Island	R4	Dec12	171	1	0.58	619	137351
Xmas Island	R4	Jun11	13889	4	0.03	1387	7251993
Xmas Island	R4	Jun12	10524	2	0.02	186	3786341
Xmas Island	R7	Jun12	11840	5	0.04	461	3978863
Xmas Island	R7	Jun15	33370	72	0.22	16506	16211583
Xmas Island	R8	Jun15	11063	1	0.01	164	3688452
Xmas Island	R9	Jun11	20095	6	0.03	2040	9979535
Xmas Island	R9	Jun15	31587	3	0.01	395	12122744
Nusa Penida	R10	Dec12	11	1	9.09	23	65
Nusa Penida	R12	Feb16	1048	45	4.29	407	3960
Nusa Penida	R12	Jan12	44	1	2.27	10	225
Nusa Penida	R12	Jan16	16	3	18.75	10	58
Nusa Penida	R13	Dec11	92	38	41.3	164	286
Nusa Penida	R13	Dec12	3	2	66.67	3	5
Nusa Penida	R13	Dec15	444	252	56.76	682	1041
Nusa Penida	R13	Feb12	2298	749	32.59	1965	9537
Nusa Penida	R13	Feb13	3231	1363	42.19	3650	9791
Nusa Penida	R13	Jan12	2298	1167	50.78	3826	5639
Nusa Penida	R13	Jan13	3930	1893	48.17	5842	12022
Nusa Penida	R13	Jan16	2556	1319	51.6	3321	6256
Nusa Penida	R14	Dec12	17	1	5.88	2	96
Nusa Penida	R15	Dec15	140	89	63.57	236	268
Nusa Penida	R15	Feb12	69	33	47.83	89	156
Nusa Penida	R15	Feb13	190	83	43.68	160	425
Nusa Penida	R16	Dec12	38	11	28.95	31	88
Nusa Penida	R16	Feb12	118	28	23.73	77	421
Nusa Penida	R16	Feb13	66	5	7.58	39	275
Nusa Penida	R16	Feb16	2202	262	11.9	1534	8039
Nusa Penida	R16	Jan12	108	6	5.56	65	680
Nusa Penida	R16	Jan13	240	23	9.58	124	1389
Nusa Penida	R16	Jan16	517	96	18.57	692	1939
Nusa Penida	R17	Feb12	1051	446	42.44	1044	2462
Nusa Penida	R17	Feb13	6038	1034	17.12	4404	18996
Nusa Penida	R17	Jan13	340	49	14.41	291	1190
Nusa Penida	R18	Feb16	1127	46	4.08	322	4423
Nusa Penida	R18	Jan12	24	1	4.17	12	81
Nusa Penida	R18	Jan16	3	1	33.33	3	4
Nusa Penida	R19	Feb16	539	25	4.64	285	1867
Nusa Penida	R1	Dec11	99	19	19.19	100	339
Nusa Penida	R1	Dec12	806	244	30.27	883	2188
Nusa Penida	R1	Feb12	1460	256	17.53	696	5525
Nusa Penida	R1	Feb13	1942	206	10.61	1767	7552
Nusa Penida	R1	Feb16	22696	3441	15.16	22646	81240
Nusa Penida	R1	Jan12	971	73	7.52	365	4303
Nusa Penida	R1	Jan13	3390	364	10.74	2736	20863
Nusa Penida	R1	Jan16	3826	728	19.03	5169	14000
Nusa Penida	R21	Dec11	251	44	17.53	156	1147
Nusa Penida	R21	Dec15	8	4	50	8	13
Nusa Penida	R24	Feb16	540	35	6.48	292	1930
Nusa Penida	R26	Aug11	19	1	5.26	15	43
Nusa Penida	R26	Jul15	187	1	0.53	14	570
Nusa Penida	R26	Jun12	55	1	1.82	5	141
Nusa Penida	R26	Jun15	836	23	2.75	338	2908
Nusa Penida	R27	Feb16	1116	30	2.69	191	4653
Nusa Penida	R27	Jan12	51	3	5.88	53	413
Nusa Penida	R27	Jan16	36	6	16.67	38	162
Nusa Penida	R29	Feb12	161	57	35.4	163	619
Nusa Penida	R29	Feb13	410	183	44.63	442	1049
Nusa Penida	R29	Jan12	6349	2229	35.11	7060	20465
Nusa Penida	R29	Jan13	5181	2571	49.62	7029	13286
Nusa Penida	R29	Jan16	2839	1657	58.37	3945	5918
Nusa Penida	R2	Dec12	98	36	36.73	146	318
Nusa Penida	R2	Feb12	486	89	18.31	376	2387
Nusa Penida	R2	Feb13	135	6	4.44	28	430
Nusa Penida	R2	Feb16	1743	107	6.14	1065	6632
Nusa Penida	R2	Jan12	62	1	1.61	2	394
Nusa Penida	R2	Jan13	43	4	9.3	28	343
Nusa Penida	R2	Jan16	1	1	100	3	0
Nusa Penida	R32	Feb12	424	149	35.14	359	1315
Nusa Penida	R32	Feb13	7060	2312	32.75	7173	21928
Nusa Penida	R3	Dec11	1104	425	38.5	1695	3574
Nusa Penida	R3	Dec12	15	11	73.33	20	7
Nusa Penida	R3	Dec15	669	395	59.04	984	1450
Nusa Penida	R3	Feb12	5286	2227	42.13	5831	14239
Nusa Penida	R3	Feb13	1240	577	46.53	1343	2582
Nusa Penida	R3	Jan12	5884	3174	53.94	9370	15850
Nusa Penida	R3	Jan13	6266	3191	50.93	9568	17277
Nusa Penida	R3	Jan16	10951	6518	59.52	17222	23480
Nusa Penida	R4	Dec11	873	404	46.28	1410	2356
Nusa Penida	R4	Dec12	20	13	65	36	36
Nusa Penida	R4	Dec15	100	60	60	163	207
Nusa Penida	R4	Feb12	1742	246	14.12	814	12074
Nusa Penida	R4	Feb13	1028	442	43	996	2702
Nusa Penida	R4	Feb16	32	10	31.25	25	88
Nusa Penida	R4	Jan12	3476	1572	45.22	4623	10919
Nusa Penida	R4	Jan13	3960	1704	43.03	5982	13426
Nusa Penida	R4	Jan16	4470	2274	50.87	5970	11424
Nusa Penida	R5	Feb13	344	15	4.36	196	1132
Nusa Penida	R5	Jan13	3781	561	14.84	3090	13658
Nusa Penida	R6	Dec12	335	119	35.52	395	1266
Nusa Penida	R6	Dec15	3	2	66.67	6	10
Nusa Penida	R6	Feb12	233	86	36.91	202	733
Nusa Penida	R6	Feb13	2922	542	18.55	1820	9207
Nusa Penida	R6	Jan13	161	17	10.56	79	731
Nusa Penida	R7	Dec11	173	65	37.57	240	617
Nusa Penida	R7	Dec12	2	1	50	1	4
Nusa Penida	R7	Dec15	211	122	57.82	309	463
Nusa Penida	R7	Feb12	5405	1968	36.41	5062	18775
Nusa Penida	R7	Feb13	1936	828	42.77	2206	5310
Nusa Penida	R7	Jan12	12158	7515	61.81	21001	26789
Nusa Penida	R7	Jan13	8215	4115	50.09	13201	27038
Nusa Penida	R7	Jan16	11313	7045	62.27	18369	21832
Nusa Penida	R8	Dec12	5	2	40	5	16
Nusa Penida	R8	Feb13	1648	19	1.15	207	5032
Nusa Penida	R8	Feb16	55	3	5.45	16	162
Nusa Penida	R8	Jan12	85	4	4.71	88	412
Nusa Penida	R8	Jan13	1439	141	9.8	964	5475
Nusa Penida	R8	Jan16	13	1	7.69	7	37
Nusa Penida	R9	Dec11	3391	1512	44.59	6369	10143
Nusa Penida	R9	Dec12	501	279	55.69	895	1404
Nusa Penida	R9	Dec15	172	83	48.26	222	424
Nusa Penida	R9	Feb12	3764	570	15.14	1866	24383
Nusa Penida	R9	Feb13	1815	807	44.46	1734	4685
Nusa Penida	R9	Feb16	88	35	39.77	108	249
Nusa Penida	R9	Jan12	5474	2319	42.36	7069	16633
Nusa Penida	R9	Jan13	5320	2644	49.7	8198	15904
Nusa Penida	R9	Jan16	8793	5471	62.22	12350	16009
Wakatobi	R11	Dec11	31	21	67.74	919	1016
Wakatobi	R11	Dec15	6	1	16.67	44	274
Wakatobi	R11	Jan16	3	1	33.33	20	94
Wakatobi	R12	Dec11	1256	552	43.95	34473	51898
Wakatobi	R12	Dec12	3082	1612	52.3	50970	109339
Wakatobi	R12	Dec15	2389	1270	53.16	37295	63862
Wakatobi	R12	Feb13	48	13	27.08	382	2587
Wakatobi	R12	Feb16	41	6	14.63	148	1472
Wakatobi	R12	Jan12	1565	887	56.68	43130	58023
Wakatobi	R12	Jan13	23	8	34.78	733	586
Wakatobi	R12	Jan16	63	13	20.63	850	2713
Wakatobi	R13	Dec11	16	8	50	307	598
Wakatobi	R13	Dec15	61	30	49.18	2021	1202
Wakatobi	R13	Feb12	52	7	13.46	310	3262
Wakatobi	R13	Feb13	86	10	11.63	506	6120
Wakatobi	R13	Jan12	232	117	50.43	2396	6381
Wakatobi	R13	Jan13	182	57	31.32	4479	9137
Wakatobi	R13	Jan16	850	529	62.24	23689	22439
Wakatobi	R15	Dec15	20	14	70	745	362
